Episode,Score,Epsilon,Steps,Time
0,-24.000000000000004,1,269,3.55
1,-20.08000000000003,0.99,367,46.47
2,-13.67000000000005,0.9801,630,107.01
3,-3.84000000000003,0.9702989999999999,676,111.06
4,-20.250000000000014,0.96059601,468,78.75
5,-2.300000000000062,0.9509900498999999,775,145.03
6,9.879999999999871,0.9414801494009999,1071,192.54
7,-22.370000000000033,0.9320653479069899,265,45.21
8,-17.570000000000036,0.92274469442792,408,84.37
9,-21.450000000000003,0.9135172474836407,289,112.35
10,-22.830000000000013,0.9043820750088043,268,103.89
